,rank,Company,Symbol,Weight,Price,Chg,% Chg
28,29,Boeing Company,BA,0.731748,341.88,-4.18,(-1.21%)
29,30,Walmart Inc.,WMT,0.664348,117.56,-0.54,(-0.46%)
30,31,Citigroup Inc.,C,0.652042,71.96,-1.02,(-1.39%)
31,32,McDonald's Corporation,MCD,0.591447,195.98,-0.91,(-0.46%)
32,33,Abbott Laboratories,ABT,0.587318,83.13,-0.88,(-1.05%)
33,34,Medtronic Plc,MDT,0.576072,108.13,-0.42,(-0.39%)
34,35,salesforce.com inc.,CRM,0.549071,156.92,-1.37,(-0.86%)
35,36,Adobe Inc.,ADBE,0.534479,277.18,-1.23,(-0.44%)
36,37,Costco Wholesale Corporation,COST,0.521591,297.4,-1.79,(-0.60%)
37,38,Netflix Inc.,NFLX,0.504749,287.91,-3.54,(-1.21%)
38,39,Amgen Inc.,AMGN,0.50023,213.45,2.57,(1.22%)
39,40,Philip Morris International Inc.,PM,0.499785,81.14,-0.07,(-0.09%)
40,41,Honeywell International Inc.,HON,0.496913,172.39,-2.21,(-1.27%)
41,42,PayPal Holdings Inc,PYPL,0.495688,104.29,-2.21,(-2.08%)
42,43,NVIDIA Corporation,NVDA,0.487587,200.55,-2.45,(-1.21%)
43,44,Thermo Fisher Scientific Inc.,TMO,0.478205,301.15,-0.71,(-0.24%)
44,45,Oracle Corporation,ORCL,0.477673,54.37,-0.48,(-0.87%)
45,46,International Business Machines Corporation,IBM,0.473923,133.95,-1.3,(-0.96%)
46,47,Accenture Plc Class A,ACN,0.46932,185.66,-0.92,(-0.49%)
47,48,Union Pacific Corporation,UNP,0.467929,165.31,-2.64,(-1.57%)
48,49,AbbVie Inc.,ABBV,0.46442,79.35,-0.31,(-0.40%)
49,50,United Technologies Corporation,UTX,0.460141,143.48,-0.37,(-0.25%)
50,51,Broadcom Inc.,AVGO,0.457001,290.8,0.56,(0.19%)
51,52,NextEra Energy Inc.,NEE,0.455221,237.09,1.63,(0.69%)
52,53,NIKE Inc. Class B,NKE,0.446494,89.5,-0.7,(-0.77%)
53,54,Texas Instruments Incorporated,TXN,0.434889,117.63,-0.16,(-0.14%)
54,55,Linde plc,LIN,0.425826,197.66,-1.53,(-0.77%)
55,56,Starbucks Corporation,SBUX,0.398618,83.88,-0.31,(-0.37%)
56,57,QUALCOMM Incorporated,QCOM,0.390453,80.19,-1.25,(-1.53%)
